mechanism,XH2_fuel,P_atm,T_K,1000/T,phi,diluent,label,IDT_s,IDT_ms
Full,0.0,1.2,1050.0,0.9523809523809523,1.0,N2,,4.692866458873257,4692.866458873257
Full,0.0,1.2,1100.0,0.9090909090909091,1.0,N2,,1.6891553463999058,1689.1553463999057
Full,0.0,1.2,1150.0,0.8695652173913043,1.0,N2,,0.6477628919501475,647.7628919501475
Full,0.0,1.2,1200.0,0.8333333333333334,1.0,N2,,0.2625766334134182,262.57663341341816
Full,0.0,1.2,1250.0,0.8,1.0,N2,,0.11199776675660035,111.99776675660036
Full,0.0,1.2,1300.0,0.7692307692307693,1.0,N2,,0.05020698227343433,50.20698227343433
Full,0.0,1.2,1350.0,0.7407407407407407,1.0,N2,,0.031908738753300296,31.908738753300295
Full,0.0,1.2,1400.0,0.7142857142857143,1.0,N2,,0.018971378425987732,18.97137842598773
Full,0.0,1.2,1450.0,0.6896551724137931,1.0,N2,,0.01658493074040868,16.58493074040868
Full,0.0,1.2,1500.0,0.6666666666666666,1.0,N2,,0.013720682756345306,13.720682756345305
Full,0.0,1.2,1550.0,0.6451612903225806,1.0,N2,,0.007200763014036934,7.200763014036934
Full,0.0,1.2,1600.0,0.625,1.0,N2,,0.009432506320663787,9.432506320663787
Full,0.0,1.2,1650.0,0.6060606060606061,1.0,N2,,0.005893172032664652,5.893172032664651
Full,0.0,1.2,1700.0,0.5882352941176471,1.0,N2,,0.006269353446677254,6.269353446677254
Full,0.0,1.2,1750.0,0.5714285714285714,1.0,N2,,0.005578452583398741,5.578452583398741
Full,0.0,1.2,1800.0,0.5555555555555556,1.0,N2,,0.004171237825018576,4.171237825018577
Full,0.0,1.2,1850.0,0.5405405405405406,1.0,N2,,0.0038279784805832218,3.827978480583222
Full,0.0,1.2,1900.0,0.5263157894736842,1.0,N2,,0.007208631850551172,7.208631850551172
Full,0.0,1.2,1950.0,0.5128205128205128,1.0,N2,,0.004915874661833073,4.915874661833073
Full,0.0,1.2,2000.0,0.5,1.0,N2,,0.003305384628256949,3.305384628256949
Full,0.0,10.0,1050.0,0.9523809523809523,1.0,N2,,0.20286831687730977,202.86831687730978
Full,0.0,10.0,1100.0,0.9090909090909091,1.0,N2,,0.10845981929283662,108.45981929283661
Full,0.0,10.0,1150.0,0.8695652173913043,1.0,N2,,0.05421424175959119,54.21424175959119
Full,0.0,10.0,1200.0,0.8333333333333334,1.0,N2,,0.026670945971277765,26.670945971277764
Full,0.0,10.0,1250.0,0.8,1.0,N2,,0.013330994369915198,13.330994369915198
Full,0.0,10.0,1300.0,0.7692307692307693,1.0,N2,,0.006828214601477977,6.828214601477977
Full,0.0,10.0,1350.0,0.7407407407407407,1.0,N2,,0.0035909419605921955,3.5909419605921955
Full,0.0,10.0,1400.0,0.7142857142857143,1.0,N2,,0.001940380521532913,1.940380521532913
Full,0.0,10.0,1450.0,0.6896551724137931,1.0,N2,,0.001078757255271297,1.078757255271297
Full,0.0,10.0,1500.0,0.6666666666666666,1.0,N2,,0.000618562899142848,0.618562899142848
Full,0.0,10.0,1550.0,0.6451612903225806,1.0,N2,,0.0003664942477562289,0.3664942477562289
Full,0.0,10.0,1600.0,0.625,1.0,N2,,0.0010065322264463576,1.0065322264463576
Full,0.0,10.0,1650.0,0.6060606060606061,1.0,N2,,0.0007445360700525911,0.744536070052591
Full,0.0,10.0,1700.0,0.5882352941176471,1.0,N2,,0.000700681076663451,0.7006810766634509
Full,0.0,10.0,1750.0,0.5714285714285714,1.0,N2,,0.0005877421362073433,0.5877421362073433
Full,0.0,10.0,1800.0,0.5555555555555556,1.0,N2,,0.0006292562028681178,0.6292562028681178
Full,0.0,10.0,1850.0,0.5405405405405406,1.0,N2,,0.00037660369361122346,0.3766036936112235
Full,0.0,10.0,1900.0,0.5263157894736842,1.0,N2,,0.0005153734601493264,0.5153734601493264
