mechanism,XH2_fuel,P_atm,T_K,X_NH3,X_H2O,X_NO,X_N2O
Full,0.0,1.0,800.0,0.21881819591058857,1.461017803910652e-07,2.1455546175109687e-08,2.492376415448048e-09
Full,0.0,1.0,810.0,0.21881807124742986,2.7514777098347686e-07,3.3853568821376215e-08,5.349224097044623e-09
Full,0.0,1.0,820.0,0.21881786661901428,5.039371644969467e-07,5.2168097943752664e-08,1.0906825875196151e-08
Full,0.0,1.0,830.0,0.21881753592572106,8.96314944742336e-07,7.837952367083077e-08,2.118539769522238e-08
Full,0.0,1.0,840.0,0.21881701102610254,1.5475725760135295e-06,1.1472545605615452e-07,3.931991967513829e-08
Full,0.0,1.0,850.0,0.21881619383337994,2.5953170252686032e-06,1.6362465819791813e-07,6.995528240328617e-08
Full,0.0,1.0,860.0,0.21881494651305097,4.2328048539574895e-06,2.275970528578544e-07,1.1969727436123446e-07
Full,0.0,1.0,870.0,0.21881307945435796,6.725225091272048e-06,3.091903387760924e-07,1.9760686238006533e-07
Full,0.0,1.0,880.0,0.21881033653712695,1.0429629461435283e-05,4.1092339750319296e-07,3.1572619569401406e-07
Full,0.0,1.0,890.0,0.21880637691210877,1.5819638058275373e-05,5.352579236061019e-07,4.896351148320463e-07
Full,0.0,1.0,900.0,0.218800752007376,2.3516772585775313e-05,6.846098570142773e-07,7.390591669791543e-07
Full,0.0,1.0,910.0,0.21879287574702086,3.433131223756492e-05,8.614093220080509e-07,1.088581825406763e-06
Full,0.0,1.0,920.0,0.2187819850106241,4.931693752218619e-05,1.0682121235188469e-06,1.5685475474729429e-06
Full,0.0,1.0,930.0,0.21876708610889523,6.984520835705803e-05,1.3078595881963797e-06,2.2162702014876454e-06
Full,0.0,1.0,940.0,0.21874688129411055,9.770840454643302e-05,1.5836797547820702e-06,3.077679855381498e-06
Full,0.0,1.0,950.0,0.21871966658861952,0.00013526310630710583,1.8997244035900689e-06,4.209556103855019e-06
Full,0.0,1.0,960.0,0.21868318757292626,0.0001856334142128077,2.261044903261497e-06,5.682524861576166e-06
Full,0.0,1.0,970.0,0.2186344314596021,0.00025300438683769207,2.6740264829477357e-06,7.585065436432708e-06
Full,0.0,1.0,980.0,0.21856931826614126,0.000343058071344505,3.1468279116530474e-06,1.0028929714848715e-05
Full,0.0,1.0,990.0,0.21848222359728833,0.0004636471111790757,3.690019860728645e-06,1.315669926648296e-05
