mechanism,XH2_fuel,P_atm,T_unburned_K,phi,Su_m_s
Full,0.0,1.0,298.0,0.7,0.03178891823758334
Full,0.0,1.0,298.0,0.8,0.049305354623682456
Full,0.0,1.0,298.0,0.9,0.06315291500575865
Full,0.0,1.0,298.0,1.0,0.07514977990503931
Full,0.0,1.0,298.0,1.1,0.08688806315700609
Full,0.0,1.0,298.0,1.2,0.08145336700129029
Full,0.0,1.0,298.0,1.3,0.07002829528586334
Full,0.0,1.0,298.0,1.4,0.05885699663797278
Full,0.2,1.0,298.0,0.7,0.06790313846944376
Full,0.2,1.0,298.0,0.8,0.09655808252203137
Full,0.2,1.0,298.0,0.9,0.12043741397482124
Full,0.2,1.0,298.0,1.0,0.14073779826213106
Full,0.2,1.0,298.0,1.1,0.15396766614775087
Full,0.2,1.0,298.0,1.2,0.1442543497475565
Full,0.2,1.0,298.0,1.3,0.1279354643938762
Full,0.2,1.0,298.0,1.4,0.10961172912804605
Full,0.4,1.0,298.0,0.7,0.1497913921535254
Full,0.4,1.0,298.0,0.8,0.20456528121114512
Full,0.4,1.0,298.0,0.9,0.2552358837477831
Full,0.4,1.0,298.0,1.0,0.29754435519510186
Full,0.4,1.0,298.0,1.1,0.3196241792137156
Full,0.4,1.0,298.0,1.2,0.29614297142400725
Full,0.4,1.0,298.0,1.3,0.2556249188519132
Full,0.4,1.0,298.0,1.4,0.22027387086365274
Full,0.6,1.0,298.0,0.7,0.3100944374761697
Full,0.6,1.0,298.0,0.8,0.4221496904629887
Full,0.6,1.0,298.0,0.9,0.527397241918921
Full,0.6,1.0,298.0,1.0,0.6189283606107666
Full,0.6,1.0,298.0,1.1,0.6735376956599932
Full,0.6,1.0,298.0,1.2,0.6755093096096344
Full,0.6,1.0,298.0,1.3,0.6314737184874791
Full,0.6,1.0,298.0,1.4,0.5617332628894045
Full,0.8,1.0,298.0,0.7,0.6100810354401561
Full,0.8,1.0,298.0,0.8,0.8178016816203763
Full,0.8,1.0,298.0,0.9,1.0216558374498725
Full,0.8,1.0,298.0,1.0,1.1945461351547764
Full,0.8,1.0,298.0,1.1,1.3241731930318064
Full,0.8,1.0,298.0,1.2,1.4001045528358034
Full,0.8,1.0,298.0,1.3,1.4217983325315184
Full,0.8,1.0,298.0,1.4,1.3958381711654648
Full,1.0,1.0,298.0,0.7,1.352322667011713
Full,1.0,1.0,298.0,0.8,1.7253259072201275
Full,1.0,1.0,298.0,0.9,2.0533038326471367
Full,1.0,1.0,298.0,1.0,2.334732808796971
Full,1.0,1.0,298.0,1.1,2.564189540321271
Full,1.0,1.0,298.0,1.2,2.747705614996698
Full,1.0,1.0,298.0,1.3,2.8856392946991125
Full,1.0,1.0,298.0,1.4,2.9804907028215486
Reduced,0.0,1.0,298.0,0.7,0.03172157914249813
Reduced,0.0,1.0,298.0,0.8,0.04746859245444238
