mechanism,T_K,P_atm,XH2_fuel,reaction,sensitivity_raw,sensitivity_normalized
Full,1700.0,1.0,0.0,HO2 + NH3 <=> H2O2 + NH2,-0.00013086736319892927,-1.0
Full,1700.0,1.0,0.0,NH3 + O2 <=> HO2 + NH2,-0.00010381747799413177,-0.7933030471189412
Full,1700.0,1.0,0.0,H + O2 <=> O + OH,7.773648897140059e-05,0.5940097444558019
Full,1700.0,1.0,0.0,H2NO + NH2 <=> HNO + NH3,-5.512830175364854e-05,-0.42125324760955823
Full,1700.0,1.0,0.0,H2O2 (+M) <=> 2 OH (+M),-5.145300361508391e-05,-0.39316910158013246
Full,1700.0,1.0,0.0,HNOH + NH2 <=> H2NN + H2O,-5.127643183431063e-05,-0.39181985929040375
Full,1700.0,1.0,0.0,NH + NH2 <=> H + N2H2,4.6133761742739714e-05,0.35252304787873323
Full,1700.0,1.0,0.0,NH2 + O2 <=> H2NO + O,3.4963226248403364e-05,0.26716536035998795
Full,1700.0,1.0,0.0,2 NH2 <=> NH + NH3,3.361088701986586e-05,0.25683169736349404
Full,1700.0,1.0,0.0,NH3 + O <=> NH2 + OH,3.237484520076805e-05,0.24738670062111356
Reduced,1700.0,1.0,0.0,N2H2 + M <=> H + NNH + M,-9.462676738890217e-06,-0.07230738442025582
Reduced,1700.0,1.0,0.0,H + O2 <=> O + OH,-7.43866157091023e-06,-0.05684122755344926
Reduced,1700.0,1.0,0.0,N2H3 (+M) <=> H + N2H2 (+M),5.2982731511148935e-06,0.040485824896319474
Reduced,1700.0,1.0,0.0,2 NH2 <=> H2 + N2H2,-4.934700512807153e-06,-0.037707648356190976
Reduced,1700.0,1.0,0.0,NH2 + NH3 <=> H2 + N2H3,4.5682053201466015e-06,0.034907139629630574
Reduced,1700.0,1.0,0.0,NH2 + NO <=> NNH + OH,3.2717004040904912e-06,0.02500012473787857
Reduced,1700.0,1.0,0.0,NH2 + NO <=> H2O + N2,-2.9962192944045426e-06,-0.022895084161281987
Reduced,1700.0,1.0,0.0,H + N2H2 <=> H2 + NNH,2.336568578874932e-06,0.01785447893011456
Reduced,1700.0,1.0,0.0,H + NH3 <=> H2 + NH2,1.973766152136368e-06,0.015082187826586524
Reduced,1700.0,1.0,0.0,H2NO + HO2 <=> H2O2 + HNO,1.8655911764931408e-06,0.014255587725545346
Optimized,1700.0,1.0,0.0,NH2 + NH3 <=> H2 + N2H3,7.694411296844388e-06,0.05879549422225496
Optimized,1700.0,1.0,0.0,2 NH2 <=> H2 + N2H2,-7.612937690101821e-06,-0.058172927947891195
Optimized,1700.0,1.0,0.0,HO2 + NH2 <=> NH3 + O2,-4.090886620377143e-06,-0.03125979251342182
Optimized,1700.0,1.0,0.0,2 NH => 2 H + N2,3.2533742369042947e-06,0.024860088545979913
Optimized,1700.0,1.0,0.0,H + O2 <=> O + OH,-3.039980021693147e-06,-0.023229474082641404
Optimized,1700.0,1.0,0.0,NNH <=> H + N2,2.3795885606941914e-06,0.018183208574906632
Optimized,1700.0,1.0,0.0,HO2 + NH2 <=> H2NO + OH,-2.0312845805767675e-06,-0.015521704808012722
Optimized,1700.0,1.0,0.0,N + NO <=> N2 + O,-1.9635797762510593e-06,-0.015004350422085411
Optimized,1700.0,1.0,0.0,NH + NO <=> H + N2O,-1.5505005761989574e-06,-0.011847878174499992
Optimized,1700.0,1.0,0.0,H + NH <=> H2 + N,1.46601215705628e-06,0.011202274740019173
Full,1600.0,10.0,0.0,H2NO + NH2 <=> HNO + NH3,-8.328024071257799e-05,-7.226543093597886e-07
Full,1600.0,10.0,0.0,HO2 + NH2 <=> H2NO + OH,6.810599497138757e-05,5.90981610261796e-07
Full,1600.0,10.0,0.0,HNO + O2 <=> HO2 + NO,5.854805245303088e-05,5.080437093815405e-07
Full,1600.0,10.0,0.0,NH3 + O2 <=> HO2 + NH2,-5.680088190298008e-05,-4.928828462959223e-07
Full,1600.0,10.0,0.0,NH + NH2 <=> H + N2H2,-4.8781527498811774e-05,-4.2329585940840286e-07
Full,1600.0,10.0,0.0,H2O2 (+M) <=> 2 OH (+M),4.296892593450498e-05,3.7285770585485117e-07
Full,1600.0,10.0,0.0,HO2 + NO <=> NO2 + OH,4.1706427583927815e-05,3.61902527702173e-07
Full,1600.0,10.0,0.0,N2H2 + NH2 <=> NH3 + NNH,-3.929524460794795e-05,-3.409797763587845e-07
Full,1600.0,10.0,0.0,NH2 + NO <=> NNH + OH,3.256858459128006e-05,2.826099901159709e-07
Full,1600.0,10.0,0.0,2 NH2 <=> NH + NH3,3.086015484257168e-05,2.677852956917135e-07
Reduced,1600.0,10.0,0.0,NH2 + NO <=> NNH + OH,-1.3998305137132845e-05,-1.2146861541857294e-07
Reduced,1600.0,10.0,0.0,H + N2H2 <=> H2 + NNH,1.3904089396827983e-05,1.2065106962189577e-07
Reduced,1600.0,10.0,0.0,H2NO + NH2 <=> HNO + NH3,-1.0892237088508018e-05,-9.451608212498854e-08
Reduced,1600.0,10.0,0.0,HO2 + NH2 <=> H2NO + OH,-8.94259706032522e-06,-7.759831440468168e-08
Reduced,1600.0,10.0,0.0,HO2 + NH3 <=> H2O2 + NH2,-8.658462615941222e-06,-7.513277181120747e-08
Reduced,1600.0,10.0,0.0,H2NO + HO2 <=> H2O2 + HNO,8.472150025221807e-06,7.351606663097092e-08
Reduced,1600.0,10.0,0.0,N2H2 + M <=> H + NNH + M,-5.4604068795383194e-06,-4.738202637976084e-08
Reduced,1600.0,10.0,0.0,NH + OH <=> H + HNO,4.039139990462574e-06,3.504915325940438e-08
Reduced,1600.0,10.0,0.0,HNO + NH2 <=> NH3 + NO,-3.3672678285711756e-06,-2.9219063084648613e-08
Reduced,1600.0,10.0,0.0,NH2 + O2 <=> H2NO + O,-3.0479917127342428e-06,-2.6448582848147957e-08
Optimized,1600.0,10.0,0.0,HO2 + NH2 <=> H2NO + OH,115.24215608201013,1.0
Optimized,1600.0,10.0,0.0,H2NO + HO2 <=> H2O2 + HNO,60.89779842473303,0.5284333484822702
Optimized,1600.0,10.0,0.0,HO2 + NH2 <=> NH3 + O2,59.22824172286842,0.5139459702638646
Optimized,1600.0,10.0,0.0,H + O2 <=> O + OH,47.256759953383785,0.41006487174497425
Optimized,1600.0,10.0,0.0,H + H2NO <=> NH2 + OH,-29.475644200306636,-0.2557713704985769
Optimized,1600.0,10.0,0.0,NH2 + NH3 <=> H2 + N2H3,23.038047223585536,0.19990989414664284
Optimized,1600.0,10.0,0.0,NH2 + NO <=> NNH + OH,22.868244714545696,0.19843645322178716
Optimized,1600.0,10.0,0.0,H + NH3 <=> H2 + NH2,22.074042776458423,0.19154486107279878
Optimized,1600.0,10.0,0.0,N2H3 (+M) <=> H + N2H2 (+M),20.181558752246577,0.17512305772797856
Optimized,1600.0,10.0,0.0,NNH + O2 <=> HO2 + N2,9.440370200670307,0.08191768118215549
Full,1700.0,1.0,0.05,NH3 + O <=> NH2 + OH,3.507770291575681e-06,0.1556242534498051
Full,1700.0,1.0,0.05,NH + NH2 <=> H + N2H2,-2.5760917167117976e-06,-0.11428979576978401
Full,1700.0,1.0,0.05,N + NO <=> N2 + O,-2.3062558464329363e-06,-0.10231837165259557
Full,1700.0,1.0,0.05,NH2 + O2 <=> H2NO + O,2.204206469757779e-06,0.09779089215993032
Full,1700.0,1.0,0.05,H + O2 <=> O + OH,-2.044339977211978e-06,-0.09069832295326671
Full,1700.0,1.0,0.05,N + NH2 => 2 H + N2,1.626779871855701e-06,0.07217302788974571
Full,1700.0,1.0,0.05,H2NO + NH2 <=> HNO + NH3,1.5031138060486808e-06,0.06668651150795409
Full,1700.0,1.0,0.05,HNOH <=> H2NO,1.3567108992855963e-06,0.060191262054874295
Full,1700.0,1.0,0.05,NH + NO <=> H + N2O,1.3046764460973115e-06,0.05788272350816743
Full,1700.0,1.0,0.05,HO2 + NH2 <=> H2NO + OH,-1.240925482954023e-06,-0.055054375235275316
Reduced,1700.0,1.0,0.05,H + O2 <=> O + OH,-2.2539997550620052e-05,-1.0
Reduced,1700.0,1.0,0.05,2 NH2 <=> H2 + N2H2,-1.5184974852393302e-05,-0.6736901731373781
Reduced,1700.0,1.0,0.05,H + NH2 <=> H2 + NH,6.6562197711451126e-06,0.2953070316976147
Reduced,1700.0,1.0,0.05,N2H3 (+M) <=> H + N2H2 (+M),-6.480754037789128e-06,-0.2875223931695081
Reduced,1700.0,1.0,0.05,NH2 + NO <=> NNH + OH,-4.52741138731598e-06,-0.20086121913493443
Reduced,1700.0,1.0,0.05,NH2 + NO <=> H2O + N2,4.248054068348275e-06,0.18846737045148507
Reduced,1700.0,1.0,0.05,NH3 + OH <=> H2O + NH2,4.226173903416539e-06,0.18749664430643564
Reduced,1700.0,1.0,0.05,H2NO + NH2 <=> HNO + NH3,-4.215610950129442e-06,-0.18702801278758235
Reduced,1700.0,1.0,0.05,NH3 + O <=> NH2 + OH,-2.9167752621799102e-06,-0.12940441788555884
Reduced,1700.0,1.0,0.05,H2 + O <=> H + OH,2.407440878312064e-06,0.1068075039895396
Optimized,1700.0,1.0,0.05,2 NH => 2 H + N2,3.4127884706506344e-06,0.1514103301469415
Optimized,1700.0,1.0,0.05,NNH <=> H + N2,-1.921982266254002e-06,-0.08526985248945293
Optimized,1700.0,1.0,0.05,N + NO <=> N2 + O,-1.8596366260513698e-06,-0.08250385217988691
Optimized,1700.0,1.0,0.05,H + NH <=> H2 + N,1.650162603786751e-06,0.07321041628690668
Optimized,1700.0,1.0,0.05,NH + NO <=> H + N2O,-1.4400840791093472e-06,-0.06389016129550254
Optimized,1700.0,1.0,0.05,H + O2 <=> O + OH,-1.4112814258145319e-06,-0.06261231495900092
Optimized,1700.0,1.0,0.05,2 NH2 <=> H2 + N2H2,8.732889695923697e-07,0.03874396914334831
Optimized,1700.0,1.0,0.05,HO2 + NH2 <=> NH3 + O2,-8.092151334922683e-07,-0.03590129642538527
Optimized,1700.0,1.0,0.05,NH + OH <=> H + HNO,7.718898534715941e-07,0.034245338835467626
Optimized,1700.0,1.0,0.05,NH + NO <=> N2 + OH,-6.12854714572278e-07,-0.02718965311313528
Full,1700.0,10.0,0.05,H + O2 <=> O + OH,-5.311330339396762e-05,-1.0
Full,1700.0,10.0,0.05,NH + NO <=> H + N2O,-4.079398552915999e-05,-0.7680558903777993
Full,1700.0,10.0,0.05,NH2 + O2 <=> H2NO + O,3.512965825250572e-05,0.6614097788633421
Full,1700.0,10.0,0.05,HNOH <=> H2NO,-1.998011237053226e-05,-0.37617905672953333
Full,1700.0,10.0,0.05,HO2 + NH3 <=> H2O2 + NH2,1.895027960120916e-05,0.3567897003250875
Full,1700.0,10.0,0.05,N2H3 + NH2 <=> H2NN + NH3,1.8139487661986e-05,0.34152437342178577
Full,1700.0,10.0,0.05,HNOH + NH2 <=> H2NN + H2O,1.708852574751283e-05,0.32173720434518616
Full,1700.0,10.0,0.05,H2NO + NH2 <=> HNO + NH3,1.508701692407427e-05,0.28405344725343873
Full,1700.0,10.0,0.05,HO2 + NH2 <=> H2NO + OH,1.5023990893795585e-05,0.2828668136559916
Full,1700.0,10.0,0.05,H2NN + O2 <=> NH2 + NO2,-1.367112037238054e-05,-0.2573954075304841
Reduced,1700.0,10.0,0.05,HO2 + NH2 <=> H2NO + OH,-1.1436490990016524e-05,-0.21532253238301557
Reduced,1700.0,10.0,0.05,NNH + O2 <=> HO2 + N2,-1.1313055991987219e-05,-0.21299853839014102
Reduced,1700.0,10.0,0.05,NH2 + NO <=> NNH + OH,-9.52806352569048e-06,-0.17939128084382408
Reduced,1700.0,10.0,0.05,N2H2 + M <=> H + NNH + M,-9.44255544244011e-06,-0.1777813624658216
Reduced,1700.0,10.0,0.05,H + N2H2 <=> H2 + NNH,-5.942763061112517e-06,-0.11188840989670905
Reduced,1700.0,10.0,0.05,2 NH2 <=> H2 + N2H2,5.359440601602775e-06,0.10090580436786534
Reduced,1700.0,10.0,0.05,H2 + O <=> H + OH,4.853594901777025e-06,0.09138190606928576
Reduced,1700.0,10.0,0.05,NH2 + O2 <=> H2NO + O,4.666385463561164e-06,0.08785718766065587
Reduced,1700.0,10.0,0.05,HO2 + NH3 <=> H2O2 + NH2,4.602547440824284e-06,0.08665526613332473
Reduced,1700.0,10.0,0.05,NH3 + O <=> NH2 + OH,3.742686569814501e-06,0.07046608534312289
Optimized,1700.0,10.0,0.05,HO2 + NH2 <=> H2NO + OH,2.0145591874011812e-05,0.37929465099510007
Optimized,1700.0,10.0,0.05,2 NH => 2 H + N2,9.303935030170915e-06,0.17517146243303738
Optimized,1700.0,10.0,0.05,H + O2 <=> O + OH,8.800137276213563e-06,0.1656861221931273
Optimized,1700.0,10.0,0.05,H + NH <=> H2 + N,8.439684707966171e-06,0.15889963848350494
Optimized,1700.0,10.0,0.05,NH + NO <=> H + N2O,-8.394972826425656e-06,-0.1580578177214095
Optimized,1700.0,10.0,0.05,2 NH2 <=> H2 + N2H2,-5.900262068940851e-06,-0.11108821504050861
Optimized,1700.0,10.0,0.05,H + NH3 <=> H2 + NH2,-5.689364234792157e-06,-0.1071174992184412
Optimized,1700.0,10.0,0.05,NH + OH <=> H + HNO,5.576589788120369e-06,0.10499421861894084
Optimized,1700.0,10.0,0.05,H2NO + HO2 <=> H2O2 + HNO,5.440288201619324e-06,0.10242797668346888
Optimized,1700.0,10.0,0.05,N + NO <=> N2 + O,-5.174712258230988e-06,-0.09742779920592756
Full,1500.0,1.0,0.3,H + O2 <=> O + OH,2.4608064374242443e-05,1.0
Full,1500.0,1.0,0.3,H + NH2 <=> H2 + NH,-8.31671767217255e-06,-0.3379671617275903
Full,1500.0,1.0,0.3,NH3 + O2 <=> HO2 + NH2,-7.027084873689653e-06,-0.28556024426874416
Full,1500.0,1.0,0.3,H + O2 (+M) <=> HO2 (+M),-4.178936517779857e-06,-0.16981979786081833
Full,1500.0,1.0,0.3,H + N2H2 <=> H2 + NNH,-3.725252051980684e-06,-0.15138338372846383
Full,1500.0,1.0,0.3,NH2 + O <=> H + HNO,-3.5677154945100327e-06,-0.14498155727536227
Full,1500.0,1.0,0.3,NH + NO <=> H + N2O,3.5214311511559903e-06,0.14310069648720175
Full,1500.0,1.0,0.3,HO2 + NH2 <=> H2NO + OH,3.3122912028666897e-06,0.13460185866279287
Full,1500.0,1.0,0.3,H2O2 (+M) <=> 2 OH (+M),3.088192120946088e-06,0.12549512525570827
Full,1500.0,1.0,0.3,N + NO <=> N2 + O,-2.838659289834921e-06,-0.11535483842468243
Reduced,1500.0,1.0,0.3,H + O2 <=> O + OH,-9.196840140033893e-06,-0.3737327731335235
Reduced,1500.0,1.0,0.3,H2 + O <=> H + OH,-1.0692969791415314e-06,-0.043453112072511374
Reduced,1500.0,1.0,0.3,H2 + OH <=> H + H2O,-1.0261283581543442e-06,-0.041698865158545546
Reduced,1500.0,1.0,0.3,NH3 + OH <=> H2O + NH2,-9.209588562287281e-07,-0.03742508318503534
Reduced,1500.0,1.0,0.3,H + NH3 <=> H2 + NH2,5.255224109553513e-07,0.021355698805202328
Reduced,1500.0,1.0,0.3,N + NO <=> N2 + O,-5.125001979447339e-07,-0.020826514030139406
Reduced,1500.0,1.0,0.3,2 NH => 2 H + N2,4.3707788656791e-07,0.017761571163045425
Reduced,1500.0,1.0,0.3,H + NH2 <=> H2 + NH,-3.6388163481422196e-07,-0.014787088869740655
Reduced,1500.0,1.0,0.3,H + H2NO <=> NH2 + OH,-2.956770105004119e-07,-0.01201545176425581
Reduced,1500.0,1.0,0.3,NH + NO <=> H + N2O,-2.5819957262211574e-07,-0.010492477941189732
Optimized,1500.0,1.0,0.3,H + O2 <=> O + OH,1.1641729566572974e-05,0.4730859522116056
Optimized,1500.0,1.0,0.3,H + NH3 <=> H2 + NH2,1.0845808665378589e-05,0.440742047014922
Optimized,1500.0,1.0,0.3,NH3 + O <=> NH2 + OH,-8.984794304806979e-06,-0.3651158485350628
Optimized,1500.0,1.0,0.3,H + NH <=> H2 + N,5.143626157332021e-06,0.2090219725983778
Optimized,1500.0,1.0,0.3,NH3 + OH <=> H2O + NH2,-3.3020406512779895e-06,-0.1341853061281112
Optimized,1500.0,1.0,0.3,2 NH => 2 H + N2,3.172358301695862e-06,0.12891539348443867
Optimized,1500.0,1.0,0.3,HO2 + NH2 <=> H2NO + OH,3.05681341613708e-06,0.12421998616586372
Optimized,1500.0,1.0,0.3,NH + NO <=> H + N2O,-2.6619507971280322e-06,-0.10817392041262408
Optimized,1500.0,1.0,0.3,N + NO <=> N2 + O,-2.4261555553397085e-06,-0.09859188916456163
Optimized,1500.0,1.0,0.3,N + OH <=> H + NO,2.2876294874383635e-06,0.09296259358915092
Full,1550.0,10.0,0.3,H + O2 <=> O + OH,1.0220566144847816,0.012981812629493808
Full,1550.0,10.0,0.3,H + O2 (+M) <=> HO2 (+M),-0.2828483802463711,-0.0035926431304054555
Full,1550.0,10.0,0.3,H2 + OH <=> H + H2O,0.10306425622529125,0.001309086839371748
Full,1550.0,10.0,0.3,H + NH3 <=> H2 + NH2,0.10117138200116246,0.001285044200088771
Full,1550.0,10.0,0.3,H + NH2 (+M) <=> NH3 (+M),-0.08857447673827237,-0.001125042629220058
Full,1550.0,10.0,0.3,NH2 + O <=> H + HNO,-0.0814495438827694,-0.0010345441753995812
Full,1550.0,10.0,0.3,NH2 + NO <=> NNH + OH,0.08072976180729495,0.0010254017503074175
Full,1550.0,10.0,0.3,NH3 + OH <=> H2O + NH2,-0.07007249563146824,-0.0008900368099738854
Full,1550.0,10.0,0.3,NNH <=> H + N2,0.049036898551719076,0.0006228498694769635
Full,1550.0,10.0,0.3,N + NO <=> N2 + O,0.04627873576457319,0.0005878166315947156
Reduced,1550.0,10.0,0.3,H + O2 <=> O + OH,21.61619353855682,0.2745614776162655
Reduced,1550.0,10.0,0.3,H2 + OH <=> H + H2O,2.820547096068622,0.03582562198111085
Reduced,1550.0,10.0,0.3,H2 + O <=> H + OH,2.4190853648858854,0.030726392742470562
Reduced,1550.0,10.0,0.3,NH3 + OH <=> H2O + NH2,-2.3864223587799804,-0.030311518439840448
Reduced,1550.0,10.0,0.3,H + NH3 <=> H2 + NH2,2.322168542371749,0.02949538849799565
Reduced,1550.0,10.0,0.3,H + O2 (+M) <=> HO2 (+M),-2.3215913199986513,-0.02948805681735594
Reduced,1550.0,10.0,0.3,NH3 + M <=> H + NH2 + M,-1.3625188501371144,-0.01730624719409489
Reduced,1550.0,10.0,0.3,H + NH2 <=> H2 + NH,-1.1769913648692636,-0.014949740698040826
Reduced,1550.0,10.0,0.3,2 NH2 <=> H2 + N2H2,-1.099590636917975,-0.013966623194166961
Reduced,1550.0,10.0,0.3,NNH <=> H + N2,1.0187349949362805,0.012939622557051646
Optimized,1550.0,10.0,0.3,H + O2 <=> O + OH,78.72988492860677,1.0
Optimized,1550.0,10.0,0.3,H + NH3 <=> H2 + NH2,19.9487028031842,0.2533815821180728
Optimized,1550.0,10.0,0.3,H2 + OH <=> H + H2O,12.44626175552583,0.15808814869743879
Optimized,1550.0,10.0,0.3,NH3 + OH <=> H2O + NH2,-10.76836356669681,-0.13677606129440803
Optimized,1550.0,10.0,0.3,2 NH2 <=> H2 + N2H2,-9.454434806814291,-0.12008698876402131
Optimized,1550.0,10.0,0.3,NH3 + M <=> H + NH2 + M,-8.542402175044234,-0.10850266303311112
Optimized,1550.0,10.0,0.3,HO2 + NH2 <=> H2NO + OH,8.075635663725935,0.10257395487176212
Optimized,1550.0,10.0,0.3,H + O2 (+M) <=> HO2 (+M),-7.11081309844959,-0.09031910950838762
Optimized,1550.0,10.0,0.3,2 NH2 (+M) <=> N2H4 (+M),-5.429416782186519,-0.06896259009028123
Optimized,1550.0,10.0,0.3,NNH <=> H + N2,5.370122730610594,0.06820945738051425
Full,1270.0,1.0,0.7,H + O2 <=> O + OH,-0.2851908477692338,-1.0
Full,1270.0,1.0,0.7,H + OH (+M) <=> H2O (+M),-0.06409738209249888,-0.22475259144488458
Full,1270.0,1.0,0.7,NH3 + OH <=> H2O + NH2,0.04990226073855122,0.1749784788989103
Full,1270.0,1.0,0.7,H2 + OH <=> H + H2O,-0.04511660044477198,-0.15819792534604307
Full,1270.0,1.0,0.7,N + NO <=> N2 + O,0.043102140916940326,0.15113437634512392
Full,1270.0,1.0,0.7,H + NH3 <=> H2 + NH2,0.03767358923700955,0.1320995730812991
Full,1270.0,1.0,0.7,H + NH2 <=> H2 + NH,0.025341971565978075,0.08885969435626451
Full,1270.0,1.0,0.7,N + O2 <=> NO + O,-0.02439105184960571,-0.08552536675139755
Full,1270.0,1.0,0.7,N + OH <=> H + NO,-0.019498770341739084,-0.06837095402695667
Full,1270.0,1.0,0.7,NH + O <=> H + NO,-0.013205342927583968,-0.04630352983230814
Reduced,1270.0,1.0,0.7,H + O2 <=> O + OH,-0.09156353797207525,-0.32106057641150243
Reduced,1270.0,1.0,0.7,H2O + M <=> H + OH + M,-0.03289020568597044,-0.11532700275355263
Reduced,1270.0,1.0,0.7,N + NO <=> N2 + O,0.03204990590489988,0.11238055553182938
Reduced,1270.0,1.0,0.7,N + OH <=> H + NO,-0.02587226421922761,-0.09071912518091224
Reduced,1270.0,1.0,0.7,H + O2 (+M) <=> HO2 (+M),-0.02427424550283048,-0.0851157941873097
Reduced,1270.0,1.0,0.7,H + NH2 <=> H2 + NH,0.02128839267148978,0.07464612850660475
Reduced,1270.0,1.0,0.7,H + N2O <=> N2 + OH,0.017989252844743862,0.06307794582279204
Reduced,1270.0,1.0,0.7,NH3 + OH <=> H2O + NH2,0.017518945287113938,0.061428848170084475
Reduced,1270.0,1.0,0.7,2 H + O2 <=> H2 + O2,-0.012164294310257699,-0.04265317209653449
Reduced,1270.0,1.0,0.7,H + NH3 <=> H2 + NH2,0.010040829836853131,0.035207405551028796
Optimized,1270.0,1.0,0.7,H + O2 <=> O + OH,-0.07489231126436832,-0.2626041889148157
Optimized,1270.0,1.0,0.7,H2O + M <=> H + OH + M,-0.03597264846640188,-0.12613535373866433
Optimized,1270.0,1.0,0.7,H + O2 (+M) <=> HO2 (+M),-0.025448474935121576,-0.08923314031351233
Optimized,1270.0,1.0,0.7,H + NH2 <=> H2 + NH,0.024850229877844677,0.08713543955643552
Optimized,1270.0,1.0,0.7,H + NH <=> H2 + N,-0.02344145253445517,-0.08219566903291073
Optimized,1270.0,1.0,0.7,NH + NO <=> H + N2O,0.015210478419478151,0.05333438481092466
Optimized,1270.0,1.0,0.7,2 H + O2 <=> H2 + O2,-0.01384261554184243,-0.048538077747303364
Optimized,1270.0,1.0,0.7,NH3 + OH <=> H2O + NH2,0.013607852967870092,0.047714900650953136
Optimized,1270.0,1.0,0.7,N + NO <=> N2 + O,0.011922579122862135,0.041805616190423674
Optimized,1270.0,1.0,0.7,H2 + OH <=> H + H2O,-0.011473262961991203,-0.0402301232726618
Full,1165.0,10.0,0.7,H + O2 <=> O + OH,3219.0251113144004,1.0
